headline,score,reason
Ray-Ban Sunglasses are the rebels ultimate accessory.,2,"Missing possessive apostrophe creates an obvious grammar error, triggering hard-fail."
The Ray-Ban is yours.,6,"Concise and intriguing but slightly vague about the offer, limiting its persuasive clarity."
The Ray-Ban world is yours.,7,"Concise, on-brand and aspirational, but lacks specificity that could make the offer clearer or more compelling."
The world is your Ray-Ban.,7,"Clever play on a familiar phrase, short and brand-focused, but slightly abstract so impact may vary by reader."
Ray-Ban sunglasses are forever.,6,"Concise, on-brand, evokes timeless appeal but lacks urgency or specific benefit to strongly compel opens."
The vision is yours with Ray-Ban.,6,"Clear, concise and brand-focused, but lacks strong hook or urgency to markedly elevate engagement."
Ray-Ban sunglasses are timeless.,6,"Clear, concise brand statement but lacks urgency or distinctive hook to strongly drive opens."
The best things in life are worth weathering the storm with Patagonia.,2,"Headline exceeds 60 characters, triggering the length hard-fail rule."
"Patagonia calls, and you must go!",7,"Catchy, concise and evocative, though a bit generic and vaguely imperative without specific value."
Go jacketed or go home!,6,Catchy and concise but vague; recipients may not immediately understand the offer or context.
The mountains are calling and Patagonia is ready.,7,"Evocative, concise headline that ties adventure with Patagonia brand, though lacks a clear benefit or action driver."
Patagonias jackets are in the wild!,2,Missing possessive apostrophe in “Patagonias” creates an obvious grammatical error that hard-fails the headline.
"The Patagonia Jackets are calling, and you must go!",7,"Playful, brand-specific and concise, but lacks a clear benefit or urgency to reach higher impact."
JBL: Youre gonna be surround—wait for it—sound!,2,"Missing apostrophe in “You’re” is a clear grammatical error, automatically dropping the score."
"JBLs coming, I can feel it in the air.",2,Missing verb or apostrophe in “JBLs coming” makes the headline read as a clear grammatical error.
The sound is an unknown frontier.,5,Intriguing but vague; grammatically fine yet offers little clarity on email content.
"Somethings coming, I can feel it in the JBL sound tonight.",2,"Obvious grammar error with missing apostrophe in “Something's” invokes hard-fail, overshadowing otherwise creative, brand-linked headline."
"Somethings coming, you can feel it in the bassline.",2,"Missing apostrophe in “Somethings” causes a clear grammar error, forcing a hard-fail score."
The wait is the hardest sound—JBL delivers.,6,"Creative and concise headline intrigues, yet vague wording weakens clarity and perceived value."
The JBL Sound is coming. Can you feel the bass?,7,"Engaging sensory hook, concise length, and clear branding, though not particularly unique or benefit-driven."
Safety is the glue of every adventure — GoPro.,6,"Catchy and concise, but the metaphor feels vague and offers little urgency or concrete benefit to entice the reader."
Trust your GoPro Camera.,5,"Clear and concise with no errors, yet generic and offers little context or intrigue about the email’s content."
Trust is the foundation of every GoPro adventure.,6,"Clear, concise branding message but generic and lacks a strong hook or action."
You can trust GoPro with every adventure.,6,"Clear, concise, error-free headline but only moderately compelling and not highly specific."
You can trust GoPro if you fall.,6,"Short, error-free, evokes reliability but lacks clarity on benefit."
Better trusted than falter.,2,"Headline is ungrammatical and unclear, triggering the grammar hard-fail rule."
Reliable but deliver.,2,"Headline is an incomplete phrase lacking grammatical coherence, triggering the grammar hard-fail."
The GoPro never lies.,7,"Short, intriguing and error-free, but somewhat vague on the specific email benefit."
The early chef gets the OXO touch.,7,"Clever, concise pun leveraging a known phrase and brand, but may be slightly opaque to some readers."
Better OXO than overcooked.,6,"Clever play on words and concise, but meaning may be unclear to some recipients, reducing impact."
The only thing you have to fear is missing OXO.,7,"Clever play on a famous quote, concise and curiosity-driving, but brand reference alone may not clearly convey value or urgency."
OXO tools are here—but once.,6,"Concise and intrigue-building but phrasing ""but once"" feels awkward, slightly reducing clarity and impact."
"You hesitate, you regret. Choose OXO Kitchen Tools.",7,"Short, clear call-to-action with mild urgency but not especially creative or benefit-focused."
Fear is the meal-killer—OXO stops it!,6,"Short, eye-catching and grammatically sound, but the metaphor is vague so benefits and relevance are not instantly clear."
The only thing you need to fear is OXO-free cooking.,6,"Clever play on a famous quote and concise length, but message feels vague and the fear angle could reduce clarity and appeal."
"The harder the luggage, the more glorious the arrival.",7,"Creative and concise metaphor evokes premium luggage appeal, though clarity and direct benefit could be stronger."
Your journey is Samsonites.,2,Incorrect possessive form makes the headline grammatically wrong and confusing.
The Samsonite is your treasure.,5,"Grammatically fine and concise, but vague and not especially compelling or informative, yielding only average impact."
Pride is standing tall with Samsonite when others bow.,6,"Evocative and grammatically sound but somewhat vague on benefit, limiting impact."
Pack boldly in the direction of your adventure.,7,"Evocative and concise with correct grammar, but vague on specifics or benefit, making it good yet not exceptional."
The journey is your Samsonite.,6,"Creative and concise, but metaphorical phrasing may confuse recipients and lacks a clear call-to-action."
The world is your Samsonite horizon.,7,"Creative travel imagery and brand mention engage curiosity, though vague wording slightly lessens immediate clarity."
"In order to be irreplaceable, your luggage must always be Samsonite.",2,"At 68 characters, the headline exceeds the 60-character limit, triggering an automatic low score."
The Primes the thrill!,2,"Phrase lacks grammatical coherence, making meaning unclear and triggering grammar hard-fail rule."
A whole new Prime world awaits you!,7,"Concise, grammatically sound and enticing, but somewhat generic without a specific benefit to boost curiosity further."
Prime is the best everything.,2,"Awkward phrasing resembles a grammatical error, triggering hard-fail."
The best things in life are Prime.,7,"Clever wordplay with clear, concise length, but lacks specific benefit or urgency for higher impact."
Primes the limit!,2,Headline is grammatically unclear—missing apostrophe or verb—triggering hard-fail rule.
The Amazon Prime of a lifetime!,6,"Catchy but vague; the familiar 'of a lifetime' hook intrigues, yet lacks clarity on actual offer or benefit."
Theres a whole new world on Disney+.,2,"Missing apostrophe in “There's” creates an obvious grammar error, triggering hard-fail rule."
Disney+s magic is out there!,2,"Uses an incorrect character in “Disney+s,” an obvious spelling error that violates hard rules."
Stories are waiting!,6,"Concise and curiosity-driven, yet vague and generic, providing only moderate incentive to open."
The Disney+ adventure is just beginning.,7,"Concise, well-written, brand-specific and curiosity-driven, but somewhat generic and lacks a clear benefit to hit higher marks."
To Disney+s wonder and beyond!,2,The obvious grammatical error in 'Disney+s' breaks professionalism and triggers a hard-fail.
Magic is here on Disney+.,6,"Short and on-brand, but generic wording limits urgency and uniqueness."
A whole new show awaits on Disney+.,6,Concise and error-free but somewhat generic and lacks a clear benefit or urgency.
Disney+s magic is yet to stream.,2,"The incorrect “Disney+s” usage is a clear grammar error, triggering a hard-fail."
The next Disney+ adventure is the one youre about to begin.,2,Missing apostrophe in “you’re” creates a glaring grammar error that hard-fails the headline.
The wait is Disney+s magic.,2,Misused plus sign and awkward phrasing create clear grammar and punctuation errors that violate hard-fail rules.
Trust is the foundation of Apple Music.,6,"Concise, grammatically sound statement that communicates a value proposition, but lacks urgency or specific benefit to strongly entice opens."
Trust is the rhythm of Apple Music.,7,"Short, grammatically sound, brand-aligned phrase that sparks curiosity, though slightly abstract and benefit-light."
Trust is the glue of Apple Music.,6,"Clear and concise but somewhat abstract; moderately engaging without spam, errors, or length issues."
Trust is the glue of Apple Music.,6,"Clear and concise but somewhat abstract, offering limited urgency or specific benefit to entice opens."
Trust is the hub of endless streams.,6,"Memorable and concise, but the abstract metaphor makes the email’s value proposition unclear and may not immediately entice all readers."
Apple Music is the backbone of your safety.,3,"Message is short but vague and illogical, making the claim feel confusing and unpersuasive."
You cant go wrong with Apple Music.,2,"Missing apostrophe in “can’t” causes a grammar error, triggering hard-fail."
Apple Music is trusted forever.,4,"Vague, generic statement offers no clear benefit or action, limiting impact."
In Apple Music we trust.,6,"Catchy and concise brand play, but vague about the email’s actual benefit or call-to-action."
Apple Music is the one who knows the song in your heart and plays it back when its safely stored.,2,"Over 60 characters and includes the grammatical error “its” instead of “it’s,” automatically lowering the score."
The fear of missing out is over with YouTube Premium.,6,Conveys a clear benefit and urgency but wording feels slightly bland and could be punchier for stronger impact.
The only thing to fear is missing out – YouTube Premium stops it.,2,"Exceeds 60-character limit, triggering hard-fail despite clear message."
"YouTube Premium: You wait, you lose.",7,"Clear, concise and urgency-driven, but not especially distinctive or personalized."
You cant unwatch what youve watched—but YouTube Premium keeps you ahead of the game.,2,Missing apostrophes in “cant” and “youve” create obvious grammar errors triggering hard-fail.
You cant miss a beat on YouTube Premium.,2,"Missing apostrophe in 'can't' is a clear grammar error, triggering hard-fail."
The only thing we have to fear is missing out—YouTube Premium.,2,"Exceeds the 60-character limit, triggering an automatic low score."
Missing out is a costly game without YouTube Premium.,6,"Evokes FOMO and mentions product clearly, but wording is slightly vague and lacks a concrete benefit or urgency."
YouTube Premium stops the clock.,7,"Short, catchy and grammatically sound, though somewhat ambiguous, so intrigue may entice clicks but clarity could be stronger."
HBO Max is the streamer of the world!,5,"Short and hype-driven but vague; lacks clear benefit or specificity, yet avoids hard-fail issues."
Epics are forever.,6,"Short, grammatically sound, and intriguing, but vague and provides little context or value proposition."
The greatest show on HBO Max.,5,"Clear but generic statement lacks intrigue, urgency, or differentiation, resulting in an average headline."
HBO Max is your oyster.,6,"Creative twist on a familiar phrase, short and error-free, but vague about the offer or benefit."
"Life is short, grab DashPass first!",7,"Catchy, concise and urgency-inducing title fits character limits, though benefit of DashPass could be clearer for stronger impact."
Pure joy is worth the Dash.,6,"Short and catchy, but vague branding reference offers limited clarity about the email’s value."
Treat yourself with DashPass!,6,"Clear, concise and enticing, but somewhat generic and lacks a strong value proposition."
You only live with DashPass.,5,Clear and concise but lacks punch and may confuse readers with its ambiguous wording.
"Fast, furious, and DashPass.",7,"Catchy pop-culture twist grabs attention and hints at speed, but value proposition is vague."
Lets DashPass like its the best!,2,Missing apostrophes in “Lets” and “its” create obvious grammar errors that undermine headline quality.
The best meals are free with DashPass!,7,"Clear, concise, enticing value proposition with mild hyperbole but no rule violations."
"DashPass, glorious food!",6,"Short and catchy with playful tone, but vague on offer and benefits, limiting persuasive impact."
DashPass makes you so happy you forget to wait!,6,"Catchy benefit-led line with acceptable length, but vague outcome and moderate excitement limit impact."
The DashPass the merrier!,6,"Catchy wordplay and concise, but pun may confuse readers and lacks clear benefit or urgency."
The Pink is almost here.,6,"Short and curiosity-inducing but vague; lacks clear benefit or context, yet grammatically sound and concise."
"Lyft Pinks coming, I can feel it in the air.",2,Missing verb ‘are’ after “Lyft Pinks” creates an obvious grammatical error that triggers the hard-fail rule.
The best rides come to those who Lyft Pink.,8,"Catchy play on words and brand name, clear benefit hint, concise and grammatically sound."
"Lyft Pinks coming, you can feel it in the ride.",2,"Missing verb in opening phrase makes the headline grammatically incorrect, triggering hard-fail."
"Lyft Pinks here, I can feel it in the air.",2,"Missing apostrophe or verb renders “Lyft Pinks here” ungrammatical, triggering the grammar hard-fail rule."
Lyft Pink: The wait is the easiest part.,7,"Concise, brand-specific, and playfully intriguing, though benefit could be clearer for stronger impact."
The Pink is yet to come.,5,Intriguing phrasing but too vague to convey clear value or content.
"Lyfts arriving, you can see it in the pink.",2,Headline lacks necessary verb/apostrophe (“Lyfts arriving”) creating an obvious grammatical error.
Lyft Pink this way comes.,6,"Concise and creative yet slightly cryptic, potentially leaving readers unsure of the offer."
Theres no stay like Marriott.,2,"Missing apostrophe in “There's” is a clear grammatical error, triggering hard-fail rule."
Marriott Bonvoy stays are your safe haven.,6,"Clear and concise with a reassuring message, but generic wording offers limited intrigue or urgency."
Trust is the guarantee of stays.,5,"Clear, concise and error-free, but vague wording makes the benefit unclear and limits persuasive impact."
Youve got a friend in Marriott Bonvoy.,2,Missing apostrophe in “Youve” is a clear grammar error triggering a hard-fail.
"Stay, but secure.",6,"Concise and intrigue-building, but vague wording gives little clarity about the email’s value or topic."
In Marriott Bonvoy We Trust.,6,"Catchy brand play but vague about content, offers limited value indication."
Safety is the glue of travel.,6,"Concise and error-free but abstract and only moderately engaging, offering limited incentive to open the email."
Book while the IHG Rewards are hot.,7,"Concise, urgency-driven phrase with playful twist, but lacks precise benefit details to be more compelling."
The IHG member gets the rewards.,5,Grammatically acceptable but awkward phrasing and weak hook keep it at an average level.
"You wait, you miss out on IHG One Rewards.",6,"Creates urgency and mentions the program, but phrasing feels awkward and less engaging than stronger, more specific calls to action."
Time waits for no one—except IHG One Rewards members.,7,"Clever twist on a familiar phrase, concise and on-brand, but impact could be stronger and benefits clearer."
The early travelers earn IHG One Rewards.,5,"Concise and spam-free but wording feels awkward and benefits unclear, yielding only average engagement potential."
"IHG One Rewards: You delay, you lose rewards.",6,"Clear, urgent, within length limits, but phrasing feels slightly awkward and less engaging than stronger benefit-focused alternatives."
The fear of missing out is worse than missing out on IHG Rewards.,2,"Headline exceeds 60 characters and 12 words, triggering too_long rule."
"The Mileage is unlocked, the journey unbounded.",6,"Poetic and concise, it sparks curiosity but is abstract and vague about concrete reader benefits."
Miles are a flyers best friend.,2,"Missing possessive apostrophe renders grammar incorrect, triggering hard-fail and reducing headline quality."
The Elites the MileagePlus.,2,"Headline lacks necessary preposition or verb, making it grammatically incorrect and confusing."
Youre the king of MileagePlus skies!,2,Missing apostrophe in “You’re” is an obvious grammatical error that undermines credibility.
Miles are forever with United MileagePlus.,7,"Concise statement of a clear benefit with brand mention, though somewhat passive and not highly compelling."
The United MileagePlus Elite is worth the miles climbed.,7,"Concise, brand-relevant and catchy wordplay, though lacks specific benefit details that drive higher urgency."
Youre MileagePlus Elite of the world!,2,Missing apostrophe in “You’re” and awkward phrase signal clear grammar error triggering hard-fail.
Miles are your MileagePlus best friend.,6,"Concise and relevant but wording feels awkward, reducing impact."
Fly me to AAdvantage miles.,6,"Catchy song reference grabs attention, but phrasing is slightly awkward and clarity about the offer is limited."
Happy trails with American Airlines!,6,"Friendly, concise and on-brand, but somewhat generic and lacks a specific benefit or urgency."
"Adventure awaits, so lets fly with AAdvantage!",2,"Missing apostrophe in “let’s” is an obvious grammar error, forcing a hard-fail score."
The journey is the AAdvantage reward.,7,"Clever, concise brand play on words, grammatically sound, but somewhat vague about actual email content."
The AAdvantages the reward.,2,"Misspelled word and missing preposition create a clear grammar error, invoking hard-fail rule."
Spread your wings and fly farther with AAdvantage.,7,"Clear, engaging and on-brand, but a familiar metaphor limits standout impact."
Rewards are coming—you can feel them in the air.,7,"Evocative and concise, sparks curiosity about rewards, though lacks concrete detail to be stronger."
"Ultimate Rewards are coming, you can feel them in the air.",6,"Engaging phrasing sparks curiosity, yet vague benefits and cliché wording reduce clarity and impact."
"Rewards are coming, and theyre gonna be unbelievable!",2,Missing apostrophe in “they’re” is an obvious grammar error that triggers a hard-fail.
The waiting is the ultimate reward.,5,"Intriguing but vague; lacks clarity about content or benefit, so effectiveness is average."
The Ultimate Rewards are yet to come.,6,"Intriguing and concise, but vague about specifics, offering limited clarity on the email’s value."
The wait is almost ULTIMATE REWARDS!,2,"The phrase is grammatically awkward and confusing, triggering the grammar hard-fail."
The Ultimate Rewards are yet to come.,6,"Creates curiosity and positivity but is vague about value and timing, limiting impact."
"Stay tuned, the Ultimate Rewards are yet to arrive.",6,"Concise and curiosity-driven, though vague wording and mild awkwardness reduce impact."
The journey is almost rewarded. —Ulta Ultamate Rewards.,6,"Concise and on-brand but vague, with slightly awkward phrasing that weakens urgency and clarity."
Trust is the foundation of Nike Membership.,6,"Concise and correct, yet somewhat generic and lacks a compelling incentive or curiosity hook."
Youre in Nike Membership hands.,2,Missing apostrophe in “You’re” and awkward phrase render the headline grammatically incorrect and confusing.
Nike Membership is the foundation of every step.,6,Clear and on-brand but vague; lacks urgency or specific benefit to strongly entice opens.
Nike Membership is the foundation of life.,4,"Headline is grammatical and short but uses vague, hyperbolic wording that conveys little concrete benefit, reducing persuasive impact."
Nike Membership is the foundation of life.,5,"Clear and short but hyperbolic wording feels forced, offering limited concrete value to entice opens."
Nike Membership is the foundation of safety.,4,Grammatically fine but vague and puzzling; unclear benefit limits appeal and effectiveness.
A faithful Nike Membership is a strong foundation.,6,"Clear and within length limits, but wording feels vague and lacks a compelling action or benefit."
You can trust Nike Membership with your stride.,5,"Clear and short but phrasing feels awkward and less compelling, limiting persuasive impact."
"You snooze, you miss Peloton All-Access.",7,"Concise, brand-specific, and creates urgency with a playful twist, though not exceptionally compelling."
You miss 100% of the Peloton classes you dont stream.,2,Missing apostrophe in “dont” creates an obvious grammar error that triggers a hard fail.
"You snooze, you miss—Peloton All-Access keeps you in the game.",2,"At 62 characters, the otherwise engaging headline exceeds the 60-character limit."
"You snooze, you miss Peloton All-Access.",7,"Catchy FOMO twist on familiar phrase, concise and clear, though value proposition could be more explicit."
The only bad ride is the one that didnt happen with Peloton All-Access.,2,"Missing apostrophe in 'didn't' creates a clear grammatical error, automatically dropping score to very poor."
Dont let this ride be the one that got away.,2,"Missing apostrophe in “Don’t” is a clear grammar error, triggering the hard-fail rule."
The only way through fear is Peloton All-Access.,6,"Concise and intriguing but hyperbolic claim offers limited clarity on actual benefit, reducing persuasive power."
Grammarly Premium: Master of Your Writings Fate.,2,"Lacks possessive apostrophe in 'Your Writing’s Fate,' causing a clear grammatical error that triggers hard-fail."
I refuse to join any Grammarly Club that wouldnt have me as a Premium member.,2,"Misspelling of “wouldn’t” creates a grammar hard-fail, forcing a very poor score despite wit."
Grammarly Premium is the king of perfect prose!,6,"Clear, concise and on-brand, but somewhat generic and hype-driven without a strong hook."
Grammarly Premium is mightier than the sword.,7,"Clever, concise pun ties product to familiar saying and intrigues readers, though value proposition could be clearer."
We are the Grammarly champions.,6,"Catchy play on words but vague about value, offering limited appeal to readers."
"Quality is never an accident. It is always the result of Grammarly Premiums precision, flawless delivery, and expert guidance.",2,"Missing apostrophe in “Grammarly Premiums” creates a clear grammar error, invoking the grammar hard-fail rule."
Grammarly Premium: King of Writings World!,2,"Phrase “King of Writings World” is ungrammatical, triggering the grammar hard-fail rule."
Grammarly Premium is mightier than the competition.,8,"Concise, error-free, and evocative, it clearly positions the product as superior while retaining engaging phrasing."
The Grammarly Premium is mightier than the sword.,7,"Clever twist on a familiar proverb creates interest and stays concise, though wording feels slightly awkward and brand-centric."
Lets design bold with Canva Pro!,2,Missing apostrophe in “Let’s” constitutes a clear grammatical error.
The designs the limit!,2,"Missing verb/apostrophe makes headline grammatically incorrect, breaching hard-fail rule."
Let your ideas run wild with Canva Pro!,7,"Catchy, benefit-oriented and concise headline with proper grammar and length."
"If you can design it, you can do it with Canva Pro.",7,"Clear, on-brand, motivational line under 60 characters, though not highly distinctive or urgent."
Designs the breakthrough with Canva Pro!,2,Incorrect verb usage makes the headline ungrammatical and unclear.
The skys the canvas—your ideas take flight with Canva Pro.,2,"Missing apostrophe in 'sky's' creates a clear grammar error, detracting from an otherwise evocative, concise headline."
Make every design shine with Canva Pro.,7,"Clear, concise benefit statement for Canva Pro, but somewhat generic and lacks urgency or a unique hook."
Make every day a Canva Pro adventure!,7,"Short, upbeat call-to-action conveys benefit and brand clearly without spammy elements."
The joy of creating is the excitement of Canva Pro.,6,"Clear and concise but lacks punch and feels vaguely phrased, so only moderately compelling."
Canva Pro is the best design palette!,5,"Headline is clear but generic and benefit-light, offering limited intrigue or uniqueness."
What happens next is built with Squarespace.,7,"Curious, brand-centric line under 60 characters; grammatically sound but slightly vague on value proposition."
"Your visions coming, I can feel it in the air tonight.",2,Grammar error in opening phrase damages clarity and professionalism.
"The future is something you craft, not something you delay.",5,"Motivating but vague; lacks specificity or urgency that drives opens, yet free of hard-fail issues."
"Build your own site with Squarespace, or someone else will hire you to build theirs.",2,"The headline exceeds 60 characters, automatically lowering the score despite being clear and relevant."
"The futures so brilliant, I gotta wear Squarespace.",2,Missing apostrophe in “future’s” creates a conspicuous grammar error.
